URL,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Jumlah Lantai,Kondisi Properti,Lainnya,Carport,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,IMB
https://www.rumah123.com/properti/tangerang/hos19194470/,"Rp 4,5 Miliar","BSD, Tangerang",5.0,5.0,300 m²,300 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos19198527/,"Rp 2,4 Miliar","Gading Serpong, Tangerang",3.0,2.0,84 m²,102 m²,SHM,4400 Watt,2.0,Sudah Renovasi,Informasi tambahan tidak tersedia,2.0,,,,Ada
https://www.rumah123.com/properti/tangerang/hos18994603/,"Rp 3,5 Miliar","Gading Serpong, Tangerang",5.0,3.0,199 m²,240 m²,HGB,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos19063875/,"Rp 1,5 Miliar","Gading Serpong, Tangerang",3.0,2.0,55 m²,70 m²,Lainnya,Lainnya,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18927863/,"Rp 3,8 Miliar","Gading Serpong, Tangerang",5.0,3.0,170 m²,200 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos18819927/,Rp 16 Miliar,"BSD, Tangerang",4.0,4.0,300 m²,500 m²,SHM,41500 Watt,3.0,Bagus,Informasi tambahan tidak tersedia,2.0,1.0,1.0,2.0,
https://www.rumah123.com/properti/tangerang/hos18666198/,"Rp 7,5 Miliar","BSD, Tangerang",5.0,4.0,480 m²,310 m²,SHM,7700 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,2.0,1.0,1.0,2.0,
https://www.rumah123.com/properti/tangerang/hos18511951/,"Rp 4,5 Miliar","Gading Serpong, Tangerang",4.0,3.0,160 m²,198 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,2.0,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos19021022/,"Rp 15,9 Miliar","BSD, Tangerang",4.0,4.0,300 m²,500 m²,SHM,41500 Watt,3.0,Sudah Renovasi,Informasi tambahan tidak tersedia,2.0,1.0,1.0,2.0,
https://www.rumah123.com/properti/tangerang/hos18022107/,"Rp 1,37 Miliar","BSD City, Tangerang",4.0,2.0,96 m²,110 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos17082842/,"Rp 5,53 Miliar","BSD, Tangerang",4.0,4.0,224 m²,260 m²,Lainnya,5500 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18533272/,Rp 720 Juta,"BSD City, Tangerang",2.0,1.0,72 m²,50 m²,SHM,1300 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos17270541/,"Rp 1,07 Miliar","BSD, Tangerang",3.0,2.0,107 m²,115 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos17754635/,Rp 780 Juta,"BSD City, Tangerang",2.0,1.0,84 m²,43 m²,SHM,1300 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18061956/,"Rp 1,44 Miliar","BSD, Tangerang",4.0,3.0,234 m²,130 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
